seed,trial,condition,n_base,n_stim,noframe_steps,valid,spikes_stim,spikes_base,d_DNa02_L,s_DNa02_L,d_DNa02_R,s_DNa02_R,d_DNa01_L,s_DNa01_L,d_DNa01_R,s_DNa01_R,d_MDN,s_MDN,d_DNp09,s_DNp09,d_DNp01,s_DNp01,d_DNp02,s_DNp02,d_DNp04,s_DNp04,d_turn,d_fwd,d_escape,escape_onset_ms,h2_onset_ok
2026,85,grey,99,102,0,True,24650.323529411766,24674.656565656565,-2.317290552584673,26.470588235294116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.317290552584673,0.0,0.0,,False
2026,86,grating_L,98,103,0,True,24092.873786407767,24698.79591836735,-3.4030116901129404,26.699029126213592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4030116901129404,0.0,0.0,,False
2026,87,grey,98,100,0,True,24676.08,24676.020408163266,-4.040816326530614,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.040816326530614,0.0,0.0,,False
2026,88,bright_R,100,100,0,True,24191.67,24642.57,-5.5,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,,False
2026,89,grey,99,100,0,True,24682.29,24691.76767676768,5.757575757575758,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.757575757575758,0.0,0.0,,False
2026,90,grating_L,101,101,0,True,24147.970297029704,24661.831683168315,-4.455445544554454,22.277227722772277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.455445544554454,0.0,0.0,,False
2026,91,bright_R,101,97,0,True,24229.546391752578,24666.31683168317,-8.13514341124834,19.587628865979383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.13514341124834,0.0,0.0,,False
2026,92,bright_R,101,99,0,True,24236.50505050505,24715.29702970297,-2.0352035203520344,22.22222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0352035203520344,0.0,0.0,,False
2026,93,disc,102,99,0,True,24481.262626262625,24721.823529411766,0.7724301841948922,26.262626262626263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7724301841948922,0.0,0.0,,False
2026,94,bright_R,99,102,0,True,24189.735294117647,24731.040404040403,-5.258467023172905,23.529411764705884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.258467023172905,0.0,0.0,,False
2026,95,grey,101,98,0,True,24686.51020408163,24720.79207920792,2.333804809052335,28.571428571428573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.333804809052335,0.0,0.0,,False
2026,96,disc,100,100,0,True,24430.51,24669.64,-1.0,28.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,False
2026,97,grating_L,99,100,0,True,24166.87,24735.303030303032,-0.7323232323232318,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7323232323232318,0.0,0.0,,False
2026,98,grey,101,99,0,True,24628.50505050505,24690.69306930693,-3.4403440344034415,26.262626262626263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4403440344034415,0.0,0.0,,False
2026,99,recede,101,99,0,True,24401.090909090908,24691.455445544554,-0.02500250025002515,23.737373737373737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02500250025002515,0.0,0.0,,False
2026,100,grating_L,102,101,0,True,24168.752475247526,24732.941176470587,-6.63948747815958,22.77227722772277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.63948747815958,0.0,0.0,,False
