seed,trial,condition,n_base,n_stim,spikes_stim,spikes_base,d_DNa02_L,s_DNa02_L,d_DNa02_R,s_DNa02_R,d_DNa01_L,s_DNa01_L,d_DNa01_R,s_DNa01_R,d_MDN,s_MDN,d_DNp09,s_DNp09,d_DNp01,s_DNp01,d_DNp02,s_DNp02,d_DNp04,s_DNp04,d_turn,d_fwd,d_escape
2026,155,disc,50,100,28777.5,29295.9,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75,9.25,4.5,24.5,0.0,0.0,4.5
2026,156,disc,50,100,26072.05,22643.92,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,15.25,15.25,-1.0,0.0,15.25
2026,157,disc,50,100,29532.22,29599.58,0.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.75,10.75,-2.5,32.0,-0.5,0.0,0.0
2026,158,disc,50,100,29517.51,29704.2,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,16.5,-7.0,38.0,-2.0,0.0,0.0
2026,159,grating_R,50,100,29050.98,29664.56,4.5,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.5,6.0,-17.5,23.0,-4.5,0.0,0.0
2026,160,loom,50,100,29719.37,25005.0,-5.5,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.75,15.25,37.75,43.75,5.5,0.0,37.75
2026,161,bright_R,50,100,27076.19,29772.62,6.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.5,6.0,-23.5,21.0,-6.0,0.0,0.0
2026,162,grating_L,50,100,28939.58,29177.48,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.75,6.25,-7.75,20.25,-3.0,0.0,0.0
2026,163,disc,50,100,29543.58,29120.82,-0.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,12.5,10.5,33.0,0.5,0.0,10.5
2026,164,grey,50,100,29752.92,29658.62,1.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,15.5,10.25,39.25,-1.5,0.0,10.25
2026,165,loom,50,100,29813.79,29673.54,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25,14.75,0.25,39.25,-5.0,0.0,0.25
2026,166,bright_R,50,100,28908.56,29775.44,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.25,8.75,-12.75,26.25,-2.0,0.0,0.0
2026,167,grey,50,100,29626.22,29034.64,-4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.25,11.75,9.75,30.75,4.0,0.0,9.75
2026,168,grating_R,50,100,28296.15,27227.08,1.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,7.25,2.75,22.75,-1.5,0.0,2.75
2026,169,loom,50,100,29812.79,29328.72,-1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,11.5,0.5,33.0,1.0,0.0,0.5
2026,170,grating_R,50,100,28344.82,29777.38,-1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.5,6.5,-25.0,20.0,1.0,0.0,0.0
2026,171,bright_L,50,100,28897.11,27684.82,8.5,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,7.0,4.25,22.25,-8.5,0.0,4.25
2026,172,grey,50,100,29552.95,29311.5,-8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.75,15.75,10.5,37.5,8.0,0.0,10.5
2026,173,disc,50,100,28496.26,27423.24,-2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.25,11.75,-1.5,29.5,2.0,0.0,0.0
2026,174,disc,50,100,29652.63,29728.52,-2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.75,10.25,-10.0,29.0,2.0,0.0,0.0
