seed,trial,condition,n_base,n_stim,spikes_stim,spikes_base,d_DNa02_L,s_DNa02_L,d_DNa02_R,s_DNa02_R,d_DNa01_L,s_DNa01_L,d_DNa01_R,s_DNa01_R,d_MDN,s_MDN,d_DNp09,s_DNp09,d_DNp01,s_DNp01,d_DNp02,s_DNp02,d_DNp04,s_DNp04,d_turn,d_fwd,d_escape
2026,11,grating_R,50,100,9559.21,9449.76,-1.5,0.5,-1.0,7.0,-2.5,4.5,-3.0,4.0,-1.875,10.375,-1.0,23.5,-2.0,9.5,-0.75,0.75,-1.0,28.0,0.5,-2.75,-0.75
2026,12,grating_L,50,100,9293.42,9600.32,0.5,0.5,-0.5,5.5,1.0,4.0,-2.0,2.0,1.75,11.25,-2.75,23.25,-1.75,6.75,-0.5,1.0,0.5,27.5,-1.0,-0.5,1.75
2026,13,disc,50,100,9666.61,9652.68,0.0,0.0,-6.0,5.0,-1.5,3.5,1.5,3.5,-0.75,11.25,-1.0,27.5,1.0,9.5,-0.25,1.75,-2.5,26.0,-6.0,0.0,1.0
2026,14,loom,50,100,10383.7,9942.5,-0.5,0.5,3.0,12.0,1.0,8.0,4.0,5.0,-0.625,11.875,-1.0,32.0,-0.75,11.75,0.25,1.25,3.75,29.25,3.5,2.5,3.75
2026,15,disc,50,100,8554.16,4430.84,0.5,0.5,4.0,8.0,3.0,7.0,3.0,4.0,4.375,9.125,10.25,22.25,2.0,7.5,0.25,0.75,10.75,22.75,3.5,3.0,10.75
2026,16,grey,50,100,10419.68,10114.24,1.0,1.0,3.5,9.5,3.5,5.5,-2.0,4.0,-1.875,11.125,0.75,29.75,-1.0,12.0,0.75,1.75,0.0,30.0,2.5,0.75,0.75
2026,17,bright_R,50,100,9126.87,10460.74,-0.5,0.5,-8.5,4.5,-5.0,5.0,-4.0,2.0,0.125,11.375,-3.25,27.25,-7.75,9.25,-1.0,0.5,-5.25,25.75,-8.0,-4.5,0.125
2026,18,disc,50,100,9709.4,9366.0,-1.0,0.0,-3.5,6.5,-1.0,7.0,2.5,6.5,-0.5,10.25,5.5,27.0,1.5,10.5,-0.25,0.75,2.75,27.25,-2.5,0.75,5.5
2026,19,disc,50,100,9918.57,10332.64,0.0,2.0,-7.0,7.0,0.5,6.5,0.5,5.5,-0.375,12.375,-3.75,26.75,-4.25,9.25,0.75,0.75,-2.75,25.75,-7.0,0.5,0.75
2026,20,disc,50,100,9972.68,9986.9,1.0,1.0,0.0,11.0,1.5,6.5,-1.5,4.5,1.375,11.875,-5.75,27.25,0.0,10.0,-1.5,1.0,-3.75,26.75,-1.0,0.0,1.375
2026,21,bright_L,50,100,9508.14,10050.96,-1.0,0.0,-2.0,7.0,-4.5,5.5,0.0,3.0,1.375,11.125,-1.5,26.0,-3.0,10.0,1.5,2.0,-2.25,25.25,-1.0,-2.25,1.5
2026,22,grating_R,50,100,9259.97,9688.6,-1.0,0.0,2.5,5.5,0.5,4.5,2.0,5.0,-2.75,11.0,0.75,26.75,-2.25,8.75,1.5,2.0,-4.25,24.25,3.5,1.25,1.5
2026,23,grating_R,50,100,9499.91,9614.54,-1.0,1.0,-4.5,4.5,-2.0,4.0,0.0,4.0,-1.0,11.75,-0.5,25.5,2.0,10.5,-0.75,0.25,-3.25,26.75,-3.5,-1.0,2.0
2026,24,loom,50,100,10269.59,9584.56,0.5,0.5,1.0,7.0,1.5,7.5,2.0,6.0,-0.25,12.25,7.5,32.5,2.75,11.75,1.0,1.0,2.75,30.25,0.5,1.75,7.5
2026,25,grating_L,50,100,9539.33,10415.34,-1.5,0.5,-7.5,4.5,-1.5,8.5,-2.5,3.5,0.375,12.625,-5.5,23.5,-2.25,9.25,-0.5,0.5,-3.25,27.25,-6.0,-2.0,0.375
2026,26,grating_R,50,100,9447.22,9708.88,0.0,0.0,-2.5,5.5,2.0,5.0,-1.0,5.0,0.75,11.5,-1.0,26.0,1.75,10.75,-2.0,0.5,2.25,28.75,-2.5,0.5,2.25
